"status","roundId","gameweek","seasonId","dateutc","winner","venue","wyId","label","date","duration","competitionId","home.scoreET","home.coachId","home.side","home.teamId","home.score","home.scoreP","home.hasFormation","home.scoreHT","away.scoreET","away.coachId","away.side","away.teamId","away.score","away.scoreP","away.hasFormation","away.scoreHT","league"
"Played",4405654,1,181150,"2017-08-11 18:45:00",1609,"Emirates Stadium",2499719,"Arsenal - Leicester City, 4 - 3","August 11, 2017 at 8:45:00 PM GMT+2","Regular",364,0,7845,"home",1609,4,0,1,2,0,333782,"away",1631,3,0,1,2,"England"
"Played",4405654,1,181150,"2017-08-12 16:30:00",1625,"The American Express Community Stadium",2499720,"Brighton & Hove Albion - Manchester City, 0 - 2","August 12, 2017 at 6:30:00 PM GMT+2","Regular",364,0,8093,"home",1651,0,0,1,0,0,267136,"away",1625,2,0,1,0,"England"
"Played",4405654,1,181150,"2017-08-12 14:00:00",1646,"Stamford Bridge",2499721,"Chelsea - Burnley, 2 - 3","August 12, 2017 at 4:00:00 PM GMT+2","Regular",364,0,272869,"home",1610,2,0,1,0,0,8880,"away",1646,3,0,1,3,"England"
"Played",4405654,1,181150,"2017-08-12 14:00:00",1673,"Selhurst Park",2499722,"Crystal Palace - Huddersfield Town, 0 - 3","August 12, 2017 at 4:00:00 PM GMT+2","Regular",364,0,268775,"home",1628,0,0,1,0,0,18572,"away",1673,3,0,1,2,"England"
"Played",4405654,1,181150,"2017-08-12 14:00:00",1623,"Goodison Park",2499723,"Everton - Stoke City, 1 - 0","August 12, 2017 at 4:00:00 PM GMT+2","Regular",364,0,268779,"home",1623,1,0,1,1,0,9054,"away",1639,0,0,1,0,"England"
"Played",4405654,1,181150,"2017-08-13 15:00:00",1611,"Old Trafford",2499724,"Manchester United - West Ham United, 4 - 0","August 13, 2017 at 5:00:00 PM GMT+2","Regular",364,0,3295,"home",1611,4,0,1,1,0,269869,"away",1633,0,0,1,0,"England"
"Played",4405654,1,181150,"2017-08-13 12:30:00",1624,"St. James' Park",2499725,"Newcastle United - Tottenham Hotspur, 0 - 2","August 13, 2017 at 2:30:00 PM GMT+2","Regular",364,0,210700,"home",1613,0,0,1,0,0,292863,"away",1624,2,0,1,0,"England"
"Played",4405654,1,181150,"2017-08-12 14:00:00",0,"St. Mary's Stadium",2499726,"Southampton - Swansea City, 0 - 0","August 12, 2017 at 4:00:00 PM GMT+2","Regular",364,0,254174,"home",1619,0,0,1,0,0,381291,"away",10531,0,0,1,0,"England"
"Played",4405654,1,181150,"2017-08-12 11:30:00",0,"Vicarage Road Stadium",2499727,"Watford - Liverpool, 3 - 3","August 12, 2017 at 1:30:00 PM GMT+2","Regular",364,0,71037,"home",1644,3,0,1,2,0,14791,"away",1612,3,0,1,1,"England"
"Played",4405654,1,181150,"2017-08-12 14:00:00",1627,"The Hawthorns",2499728,"West Bromwich Albion - AFC Bournemouth, 1 - 0","August 12, 2017 at 4:00:00 PM GMT+2","Regular",364,0,149026,"home",1627,1,0,1,1,0,8934,"away",1659,0,0,1,0,"England"
"Played",4405654,2,181150,"2017-08-19 14:00:00",1644,"Vitality Stadium",2499729,"AFC Bournemouth - Watford, 0 - 2","August 19, 2017 at 4:00:00 PM GMT+2","Regular",364,0,8934,"home",1659,0,0,1,0,0,71037,"away",1644,2,0,1,0,"England"
"Played",4405654,2,181150,"2017-08-19 14:00:00",1627,"Turf Moor",2499730,"Burnley - West Bromwich Albion, 0 - 1","August 19, 2017 at 4:00:00 PM GMT+2","Regular",364,0,8880,"home",1646,0,0,1,0,0,149026,"away",1627,1,0,1,0,"England"
"Played",4405654,2,181150,"2017-08-20 12:30:00",1673,"The John Smith's Stadium",2499731,"Huddersfield Town - Newcastle United, 1 - 0","August 20, 2017 at 2:30:00 PM GMT+2","Regular",364,0,18572,"home",1673,1,0,1,0,0,210700,"away",1613,0,0,1,0,"England"
"Played",4405654,2,181150,"2017-08-19 14:00:00",1631,"King Power Stadium",2499732,"Leicester City - Brighton & Hove Albion, 2 - 0","August 19, 2017 at 4:00:00 PM GMT+2","Regular",364,0,333782,"home",1631,2,0,1,1,0,8093,"away",1651,0,0,1,0,"England"
"Played",4405654,2,181150,"2017-08-19 14:00:00",1612,"Anfield",2499733,"Liverpool - Crystal Palace, 1 - 0","August 19, 2017 at 4:00:00 PM GMT+2","Regular",364,0,14791,"home",1612,1,0,1,0,0,268775,"away",1628,0,0,1,0,"England"
"Played",4405654,2,181150,"2017-08-21 19:00:00",0,"Etihad Stadium",2499734,"Manchester City - Everton, 1 - 1","August 21, 2017 at 9:00:00 PM GMT+2","Regular",364,0,267136,"home",1625,1,0,1,0,0,268779,"away",1623,1,0,1,1,"England"
"Played",4405654,2,181150,"2017-08-19 16:30:00",1639,"Bet365 Stadium",2499735,"Stoke City - Arsenal, 1 - 0","August 19, 2017 at 6:30:00 PM GMT+2","Regular",364,0,9054,"home",1639,1,0,1,0,0,7845,"away",1609,0,0,1,0,"England"
"Played",4405654,2,181150,"2017-08-19 11:30:00",1611,"Liberty Stadium",2499736,"Swansea City - Manchester United, 0 - 4","August 19, 2017 at 1:30:00 PM GMT+2","Regular",364,0,381291,"home",10531,0,0,1,0,0,3295,"away",1611,4,0,1,1,"England"
"Played",4405654,2,181150,"2017-08-20 15:00:00",1610,"Wembley Stadium",2499737,"Tottenham Hotspur - Chelsea, 1 - 2","August 20, 2017 at 5:00:00 PM GMT+2","Regular",364,0,292863,"home",1624,1,0,1,0,0,272869,"away",1610,2,0,1,1,"England"
"Played",4405654,32,181150,"2018-03-31 14:00:00",1633,"London Stadium",2499738,"West Ham United - Southampton, 3 - 0","March 31, 2018 at 4:00:00 PM GMT+2","Regular",364,0,0,"home",1633,3,0,1,3,0,0,"away",1619,0,0,1,0,"England"
"Played",4405654,3,181150,"2017-08-26 11:30:00",1625,"Vitality Stadium",2499739,"AFC Bournemouth - Manchester City, 1 - 2","August 26, 2017 at 1:30:00 PM GMT+2","Regular",364,0,8934,"home",1659,1,0,1,1,0,267136,"away",1625,2,0,1,1,"England"
"Played",4405654,3,181150,"2017-08-27 12:30:00",1610,"Stamford Bridge",2499740,"Chelsea - Everton, 2 - 0","August 27, 2017 at 2:30:00 PM GMT+2","Regular",364,0,272869,"home",1610,2,0,1,2,0,268779,"away",1623,0,0,1,0,"England"
"Played",4405654,3,181150,"2017-08-26 14:00:00",10531,"Selhurst Park",2499741,"Crystal Palace - Swansea City, 0 - 2","August 26, 2017 at 4:00:00 PM GMT+2","Regular",364,0,268775,"home",1628,0,0,1,0,0,381291,"away",10531,2,0,1,1,"England"
"Played",4405654,3,181150,"2017-08-26 14:00:00",0,"The John Smith's Stadium",2499742,"Huddersfield Town - Southampton, 0 - 0","August 26, 2017 at 4:00:00 PM GMT+2","Regular",364,0,18572,"home",1673,0,0,1,0,0,254174,"away",1619,0,0,1,0,"England"
"Played",4405654,3,181150,"2017-08-27 15:00:00",1612,"Anfield",2499743,"Liverpool - Arsenal, 4 - 0","August 27, 2017 at 5:00:00 PM GMT+2","Regular",364,0,14791,"home",1612,4,0,1,2,0,7845,"away",1609,0,0,1,0,"England"
"Played",4405654,3,181150,"2017-08-26 16:30:00",1611,"Old Trafford",2499744,"Manchester United - Leicester City, 2 - 0","August 26, 2017 at 6:30:00 PM GMT+2","Regular",364,0,3295,"home",1611,2,0,1,0,0,333782,"away",1631,0,0,1,0,"England"
"Played",4405654,3,181150,"2017-08-26 14:00:00",1613,"St. James' Park",2499745,"Newcastle United - West Ham United, 3 - 0","August 26, 2017 at 4:00:00 PM GMT+2","Regular",364,0,210700,"home",1613,3,0,1,1,0,269869,"away",1633,0,0,1,0,"England"
"Played",4405654,3,181150,"2017-08-27 15:00:00",0,"Wembley Stadium",2499746,"Tottenham Hotspur - Burnley, 1 - 1","August 27, 2017 at 5:00:00 PM GMT+2","Regular",364,0,292863,"home",1624,1,0,1,0,0,8880,"away",1646,1,0,1,0,"England"
"Played",4405654,3,181150,"2017-08-26 14:00:00",0,"Vicarage Road Stadium",2499747,"Watford - Brighton & Hove Albion, 0 - 0","August 26, 2017 at 4:00:00 PM GMT+2","Regular",364,0,71037,"home",1644,0,0,1,0,0,8093,"away",1651,0,0,1,0,"England"
"Played",4405654,3,181150,"2017-08-27 12:30:00",0,"The Hawthorns",2499748,"West Bromwich Albion - Stoke City, 1 - 1","August 27, 2017 at 2:30:00 PM GMT+2","Regular",364,0,149026,"home",1627,1,0,1,0,0,9054,"away",1639,1,0,1,0,"England"
"Played",4405654,4,181150,"2017-09-09 14:00:00",1609,"Emirates Stadium",2499749,"Arsenal - AFC Bournemouth, 3 - 0","September 9, 2017 at 4:00:00 PM GMT+2","Regular",364,0,7845,"home",1609,3,0,1,2,0,8934,"away",1659,0,0,1,0,"England"
"Played",4405654,4,181150,"2017-09-09 14:00:00",1651,"The American Express Community Stadium",2499750,"Brighton & Hove Albion - West Bromwich Albion, 3 - 1","September 9, 2017 at 4:00:00 PM GMT+2","Regular",364,0,8093,"home",1651,3,0,1,1,0,149026,"away",1627,1,0,1,0,"England"
"Played",4405654,4,181150,"2017-09-10 12:30:00",1646,"Turf Moor",2499751,"Burnley - Crystal Palace, 1 - 0","September 10, 2017 at 2:30:00 PM GMT+2","Regular",364,0,8880,"home",1646,1,0,1,1,0,268775,"away",1628,0,0,1,0,"England"
"Played",4405654,4,181150,"2017-09-09 14:00:00",1624,"Goodison Park",2499752,"Everton - Tottenham Hotspur, 0 - 3","September 9, 2017 at 4:00:00 PM GMT+2","Regular",364,0,268779,"home",1623,0,0,1,0,0,292863,"away",1624,3,0,1,2,"England"
"Played",4405654,4,181150,"2017-09-09 14:00:00",1610,"King Power Stadium",2499753,"Leicester City - Chelsea, 1 - 2","September 9, 2017 at 4:00:00 PM GMT+2","Regular",364,0,333782,"home",1631,1,0,1,0,0,272869,"away",1610,2,0,1,1,"England"
"Played",4405654,4,181150,"2017-09-09 11:30:00",1625,"Etihad Stadium",2499754,"Manchester City - Liverpool, 5 - 0","September 9, 2017 at 1:30:00 PM GMT+2","Regular",364,0,267136,"home",1625,5,0,1,2,0,14791,"away",1612,0,0,1,0,"England"
"Played",4405654,4,181150,"2017-09-09 14:00:00",1644,"St. Mary's Stadium",2499755,"Southampton - Watford, 0 - 2","September 9, 2017 at 4:00:00 PM GMT+2","Regular",364,0,254174,"home",1619,0,0,1,0,0,71037,"away",1644,2,0,1,1,"England"
"Played",4405654,4,181150,"2017-09-09 16:30:00",0,"Bet365 Stadium",2499756,"Stoke City - Manchester United, 2 - 2","September 9, 2017 at 6:30:00 PM GMT+2","Regular",364,0,9054,"home",1639,2,0,1,1,0,3295,"away",1611,2,0,1,1,"England"
"Played",4405654,4,181150,"2017-09-10 15:00:00",1613,"Liberty Stadium",2499757,"Swansea City - Newcastle United, 0 - 1","September 10, 2017 at 5:00:00 PM GMT+2","Regular",364,0,381291,"home",10531,0,0,1,0,0,531745,"away",1613,1,0,1,0,"England"
"Played",4405654,4,181150,"2017-09-11 19:00:00",1633,"London Stadium",2499758,"West Ham United - Huddersfield Town, 2 - 0","September 11, 2017 at 9:00:00 PM GMT+2","Regular",364,0,269869,"home",1633,2,0,1,0,0,18572,"away",1673,0,0,1,0,"England"
"Played",4405654,5,181150,"2017-09-15 19:00:00",1659,"Vitality Stadium",2499759,"AFC Bournemouth - Brighton & Hove Albion, 2 - 1","September 15, 2017 at 9:00:00 PM GMT+2","Regular",364,0,8934,"home",1659,2,0,1,0,0,8093,"away",1651,1,0,1,0,"England"
"Played",4405654,5,181150,"2017-09-17 12:30:00",0,"Stamford Bridge",2499760,"Chelsea - Arsenal, 0 - 0","September 17, 2017 at 2:30:00 PM GMT+2","Regular",364,0,272869,"home",1610,0,0,1,0,0,7845,"away",1609,0,0,1,0,"England"
"Played",4405654,5,181150,"2017-09-16 11:30:00",1619,"Selhurst Park",2499761,"Crystal Palace - Southampton, 0 - 1","September 16, 2017 at 1:30:00 PM GMT+2","Regular",364,0,8357,"home",1628,0,0,1,0,0,254174,"away",1619,1,0,1,1,"England"
"Played",4405654,5,181150,"2017-09-16 14:00:00",0,"The John Smith's Stadium",2499762,"Huddersfield Town - Leicester City, 1 - 1","September 16, 2017 at 4:00:00 PM GMT+2","Regular",364,0,18572,"home",1673,1,0,1,0,0,333782,"away",1631,1,0,1,0,"England"
"Played",4405654,5,181150,"2017-09-16 14:00:00",0,"Anfield",2499763,"Liverpool - Burnley, 1 - 1","September 16, 2017 at 4:00:00 PM GMT+2","Regular",364,0,14791,"home",1612,1,0,1,1,0,8880,"away",1646,1,0,1,1,"England"
"Played",4405654,5,181150,"2017-09-17 15:00:00",1611,"Old Trafford",2499764,"Manchester United - Everton, 4 - 0","September 17, 2017 at 5:00:00 PM GMT+2","Regular",364,0,3295,"home",1611,4,0,1,1,0,268779,"away",1623,0,0,1,0,"England"
"Played",4405654,5,181150,"2017-09-16 14:00:00",1613,"St. James' Park",2499765,"Newcastle United - Stoke City, 2 - 1","September 16, 2017 at 4:00:00 PM GMT+2","Regular",364,0,210700,"home",1613,2,0,1,1,0,9054,"away",1639,1,0,1,0,"England"
"Played",4405654,5,181150,"2017-09-16 16:30:00",0,"Wembley Stadium",2499766,"Tottenham Hotspur - Swansea City, 0 - 0","September 16, 2017 at 6:30:00 PM GMT+2","Regular",364,0,292863,"home",1624,0,0,1,0,0,381291,"away",10531,0,0,1,0,"England"
"Played",4405654,5,181150,"2017-09-16 14:00:00",1625,"Vicarage Road Stadium",2499767,"Watford - Manchester City, 0 - 6","September 16, 2017 at 4:00:00 PM GMT+2","Regular",364,0,71037,"home",1644,0,0,1,0,0,267136,"away",1625,6,0,1,3,"England"
"Played",4405654,5,181150,"2017-09-16 14:00:00",0,"The Hawthorns",2499768,"West Bromwich Albion - West Ham United, 0 - 0","September 16, 2017 at 4:00:00 PM GMT+2","Regular",364,0,149026,"home",1627,0,0,1,0,0,269869,"away",1633,0,0,1,0,"England"
